id;name;members;is_advertised;group_description;pfp;admins
1;Fresh;Fresh;false;envisioneer;Hat Fields;Clothing Rustic Architect
2;Engineer;Rubber alliance Kids;true;Iowa Cotton Gorgeous;Consultant well-modulated sky;unleash Shoes
3;back-end circuit;invoice Technician invoice;true;overriding;matrix monitor challenge;Place calculating
4;primary California;Arkansas;false;array;Legacy PCI Organized;Bike Borders
5;Security SCSI;Metrics;false;Sausages Enhanced;haptic;Sausages
6;Table JBOD;deposit connect Games;true;South client-driven e-business;Burundi Liaison Hat;multi-byte Market Sri
7;multi-tasking;override;false;Account 24/365;6th Integration;focus Streamlined
8;Accounts Sausages index;Handcrafted real-time;false;neural;Hat;Frozen Rubber connect
9;system payment Metal;Principal Euro;true;salmon holistic;Cambridgeshire Gloves;deposit Auto
10;Djibouti silver;synthesizing;false;City 1080p;Proactive Krone;regional
