id;sender_id;reciever_id;content;timestamp
1;39679;94305;Cove;2023-04-29T12:51:09
2;90256;51442;Savings International;2023-04-30T12:24:31
3;90030;68977;Franc;2023-04-30T02:28:24
4;86665;88837;invoice;2023-04-30T02:46:12
5;15984;72263;Computer leverage;2023-04-30T03:57:22
6;73394;30586;(Malvinas) Station Fantastic;2023-04-30T07:45:43
7;5977;70142;Chief;2023-04-29T15:08:40
8;40599;92671;Industrial;2023-04-30T02:17:50
9;49761;21851;Pass Texas Plastic;2023-04-30T03:29:40
10;42067;56247;Senior Salad;2023-04-29T23:30:43
